"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"org/jfree/data/ComparableObjectSeries.update:(Ljava/lang/Comparable;Ljava/lang/Object;)V","1","2","4","3","0","50","27","237.74437510817344","5.0","1188.7218755408671","0.07924812503605781","0","2","0","27","23","Object ComparableObjectItem Comparable","getDataItem fireSeriesChanged indexOf","toString <init> setObject append","","SeriesException","protected","7"
"org/jfree/data/ComparableObjectSeries.updateByIndex:(ILjava/lang/Object;)V","1","2","3","2","0","19","12","68.11428751370197","2.0","136.22857502740393","0.022704762504567322","0","0","0","10","9","Object ComparableObjectItem","getDataItem fireSeriesChanged","setObject","","","protected","4"
"org/jfree/data/ComparableObjectSeries.getDataItem:(I)Lorg/jfree/data/ComparableObjectItem;","1","1","1","0","0","11","11","38.053747805010275","3.0","114.16124341503082","0.012684582601670092","0","1","0","6","5","","","get","","","protected","1"
"org/jfree/data/ComparableObjectSeries.delete:(II)V","2","2","3","0","0","27","18","112.58797503894243","5.0","562.9398751947122","0.03752932501298081","0","0","1","15","12","","fireSeriesChanged","remove","","","protected","5"
"org/jfree/data/ComparableObjectSeries.clear:()V","2","0","0","0","0","18","11","62.26976913547136","3.0","186.80930740641406","0.020756589711823786","0","0","0","10","8","","fireSeriesChanged","size clear","","","public","4"
"org/jfree/data/ComparableObjectSeries.remove:(I)Lorg/jfree/data/ComparableObjectItem;","1","1","2","1","0","19","15","74.23092131656186","4.0","296.92368526624745","0.024743640438853954","0","1","0","10","9","ComparableObjectItem","fireSeriesChanged","remove","","","protected","3"
"org/jfree/data/ComparableObjectSeries.remove:(Ljava/lang/Comparable;)Lorg/jfree/data/ComparableObjectItem;","1","1","1","1","0","11","7","30.880904142633646","1.0","30.880904142633646","0.010293634714211216","0","0","0","6","5","Comparable","indexOf remove","","","","public","1"
"org/jfree/data/ComparableObjectSeries.equals:(Ljava/lang/Object;)Z","1","1","2","2","0","77","23","348.31427061639","12.0","4179.77124739668","0.11610475687213","0","2","0","50","27","Object ComparableObjectSeries","","equal equals","","","public","16"
"org/jfree/data/ComparableObjectSeries.hashCode:()I","6","0","5","3","0","133","32","665.0","40.0","26600.0","0.22166666666666668","0","0","0","82","51","ComparableObjectItem","getItemCount getDataItem","hashCode","","","public","15"
"org/jfree/data/RangeType.<init>:(Ljava/lang/String;)V","1","1","1","1","0","11","8","33.0","2.0","66.0","0.011","0","0","0","6","5","String","","<init>","","","private","3"
"org/jfree/data/RangeType.toString:()Ljava/lang/String;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/jfree/data/RangeType.equals:(Ljava/lang/Object;)Z","1","1","2","2","0","35","18","145.94737505048093","5.0","729.7368752524046","0.04864912501682698","0","2","0","23","12","RangeType Object","toString","equals","","","public","8"
"org/jfree/data/RangeType.hashCode:()I","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","","","hashCode","","","public","1"
"org/jfree/data/RangeType.readResolve:()Ljava/lang/Object;","1","0","0","0","0","32","11","110.70181179639353","6.0","664.2108707783611","0.036900603932131175","0","0","0","20","12","","equals","","ObjectStreamException","","private","7"
"org/jfree/data/RangeType.<clinit>:()V","1","0","0","0","0","25","13","92.5109929535273","2.0","185.0219859070546","0.030836997651175767","0","3","0","13","12","","<init>","","","","static","3"
"org/jfree/data/ComparableObjectItem.<init>:(Ljava/lang/Comparable;Ljava/lang/Object;)V","1","2","2","2","0","27","17","110.36149671375918","4.0","441.4459868550367","0.03678716557125306","0","1","0","15","12","Object Comparable","","<init>","","IllegalArgumentException","public","6"
"org/jfree/data/ComparableObjectItem.getComparable:()Ljava/lang/Comparable;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","protected","1"
"org/jfree/data/ComparableObjectItem.getObject:()Ljava/lang/Object;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","protected","1"
"org/jfree/data/ComparableObjectItem.setObject:(Ljava/lang/Object;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","Object","","","","","protected","2"
"org/jfree/data/ComparableObjectItem.compareTo:(Ljava/lang/Object;)I","1","1","3","2","0","28","18","116.75790004038474","5.0","583.7895002019237","0.03891930001346158","0","2","0","16","12","Object ComparableObjectItem","","compareTo","","","public","5"
"org/jfree/data/ComparableObjectItem.clone:()Ljava/lang/Object;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","clone","CloneNotSupportedException","","public","1"
"org/jfree/data/ComparableObjectItem.equals:(Ljava/lang/Object;)Z","1","1","2","2","0","48","20","207.45254855459342","12.0","2489.430582655121","0.0691508495181978","0","2","0","31","17","Object ComparableObjectItem","","equal equals","","","public","10"
"org/jfree/data/ComparableObjectItem.hashCode:()I","2","0","1","0","0","32","18","133.437600046154","12.0","1601.2512005538479","0.04447920001538466","0","0","0","19","13","","","hashCode","","","public","3"
"org/jfree/data/DataUtilities.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","public","1"
"org/jfree/data/DataUtilities.equal:([[D[[D)Z","3","2","3","2","0","54","19","229.3880857259536","21.0","4817.149800245025","0.07646269524198454","0","0","1","39","15","double[]","","equals","","","public static","11"
"org/jfree/data/DataUtilities.clone:([[D)[[D","3","1","4","3","0","73","31","361.6563306582419","20.0","7233.126613164839","0.12055211021941398","0","2","1","45","28","double[] double[]","","arraycopy <init>","","IllegalArgumentException","public static","10"
"org/jfree/data/DataUtilities.calculateColumnTotal:(Lorg/jfree/data/Values2D;I)D","3","2","6","2","0","56","33","282.4860706840734","20.0","5649.721413681468","0.0941620235613578","0","1","1","32","24","Number Values2D","","getValue getRowCount doubleValue <init>","","IllegalArgumentException","public static","10"
"org/jfree/data/DataUtilities.calculateColumnTotal:(Lorg/jfree/data/Values2D;I[I)D","4","3","8","3","0","69","37","359.45228222839756","22.0","7907.950209024746","0.11981742740946585","0","1","1","40","29","Number Values2D int[]","","getValue getRowCount doubleValue <init>","","IllegalArgumentException","public static","12"
"org/jfree/data/DataUtilities.calculateRowTotal:(Lorg/jfree/data/Values2D;I)D","3","2","6","2","0","56","33","282.4860706840734","20.0","5649.721413681468","0.0941620235613578","0","1","1","32","24","Number Values2D","","getValue getColumnCount doubleValue <init>","","IllegalArgumentException","public static","10"
"org/jfree/data/DataUtilities.calculateRowTotal:(Lorg/jfree/data/Values2D;I[I)D","4","3","8","3","0","69","37","359.45228222839756","22.0","7907.950209024746","0.11981742740946585","0","1","1","40","29","Number Values2D int[]","","getValue getColumnCount doubleValue <init>","","IllegalArgumentException","public static","12"
"org/jfree/data/DataUtilities.createNumberArray:([D)[Ljava/lang/Number;","2","1","3","2","0","48","27","228.2346001038465","18.0","4108.222801869237","0.0760782000346155","0","3","1","29","19","Number[] double[]","","<init>","","IllegalArgumentException","public static","7"
"org/jfree/data/DataUtilities.createNumberArray2D:([[D)[[Ljava/lang/Number;","2","1","4","2","0","48","28","230.75303625876498","18.0","4153.55465265777","0.07691767875292166","0","2","1","28","20","double[] Number[]","createNumberArray","<init>","","IllegalArgumentException","public static","8"
"org/jfree/data/DataUtilities.getCumulativePercentages:(Lorg/jfree/data/KeyedValues;)Lorg/jfree/data/KeyedValues;","5","1","8","4","0","114","41","610.7609285264615","22.0","13436.740427582154","0.20358697617548716","0","3","2","65","49","DefaultKeyedValues Number KeyedValues","","getValue getKey getItemCount doubleValue <init> addValue","","IllegalArgumentException","public static","17"
"org/jfree/data/KeyedValues.getKey:(I)Ljava/lang/Comparable;","2","1","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/jfree/data/KeyedValues.getIndex:(Ljava/lang/Comparable;)I","2","1","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/jfree/data/KeyedValues.getKeys:()Ljava/util/List;","2","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/jfree/data/KeyedValues.getValue:(Ljava/lang/Comparable;)Ljava/lang/Number;","2","1","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/jfree/data/DomainOrder.<init>:(Ljava/lang/String;)V","1","1","1","1","0","11","8","33.0","2.0","66.0","0.011","0","0","0","6","5","String","","<init>","","","private","3"
"org/jfree/data/DomainOrder.toString:()Ljava/lang/String;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/jfree/data/DomainOrder.equals:(Ljava/lang/Object;)Z","1","1","2","2","0","35","18","145.94737505048093","5.0","729.7368752524046","0.04864912501682698","0","2","0","23","12","Object DomainOrder","toString","equals","","","public","8"
"org/jfree/data/DomainOrder.hashCode:()I","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","","","hashCode","","","public","1"
"org/jfree/data/DomainOrder.readResolve:()Ljava/lang/Object;","1","0","0","0","0","32","11","110.70181179639353","6.0","664.2108707783611","0.036900603932131175","0","0","0","20","12","","equals","","ObjectStreamException","","private","7"
"org/jfree/data/DomainOrder.<clinit>:()V","1","0","0","0","0","25","13","92.5109929535273","2.0","185.0219859070546","0.030836997651175767","0","3","0","13","12","","<init>","","","","static","3"
"org/jfree/data/statistics/BoxAndWhiskerCalculator.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","public","1"
"org/jfree/data/statistics/BoxAndWhiskerCalculator.calculateBoxAndWhiskerStatistics:(Ljava/util/List;)Lorg/jfree/data/statistics/BoxAndWhiskerItem;","1","1","1","1","0","6","6","15.509775004326936","2.0","31.019550008653873","0.005169925001442312","0","0","0","4","2","List","calculateBoxAndWhiskerStatistics","","","","public static","1"
"org/jfree/data/statistics/BoxAndWhiskerCalculator.calculateBoxAndWhiskerStatistics:(Ljava/util/List;Z)Lorg/jfree/data/statistics/BoxAndWhiskerItem;","12","2","25","9","0","350","81","2218.947501009619","45.0","99852.63754543285","0.7396491670032063","0","15","2","196","154","Number Object List Iterator","calculateQ3 calculateQ1","next add max hasNext doubleValue sort <init> isNaN calculateMean iterator min size listIterator calculateMedian","","IllegalArgumentException","public static","48"
"org/jfree/data/statistics/BoxAndWhiskerCalculator.calculateQ1:(Ljava/util/List;)D","4","1","3","1","0","69","32","345.0","22.0","7590.0","0.115","0","1","0","45","24","List","","size <init> calculateMedian","","IllegalArgumentException","public static","11"
"org/jfree/data/statistics/BoxAndWhiskerCalculator.calculateQ3:(Ljava/util/List;)D","4","1","3","1","0","73","32","365.0","22.0","8030.0","0.12166666666666667","0","1","0","47","26","List","","size <init> calculateMedian","","IllegalArgumentException","public static","11"
"org/jfree/data/statistics/BoxAndWhiskerItem.<init>:(Ljava/lang/Number;Ljava/lang/Number;Ljava/lang/Number;Ljava/lang/Number;Ljava/lang/Number;Ljava/lang/Number;Ljava/lang/Number;Ljava/lang/Number;Ljava/util/List;)V","1","9","9","9","0","59","24","270.51278754254827","2.0","541.0255750850965","0.09017092918084942","0","0","0","30","29","Number List","","<init>","","","public","11"
"org/jfree/data/statistics/BoxAndWhiskerItem.<init>:(DDDDDDDDLjava/util/List;)V","1","9","9","1","0","63","19","267.61943334694587","6.0","1605.716600081675","0.08920647778231529","0","8","0","36","27","List","<init>","<init>","","","public","2"
"org/jfree/data/statistics/BoxAndWhiskerItem.getMean:()Ljava/lang/Number;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/jfree/data/statistics/BoxAndWhiskerItem.getMedian:()Ljava/lang/Number;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/jfree/data/statistics/BoxAndWhiskerItem.getQ1:()Ljava/lang/Number;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/jfree/data/statistics/BoxAndWhiskerItem.getQ3:()Ljava/lang/Number;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/jfree/data/statistics/BoxAndWhiskerItem.getMinRegularValue:()Ljava/lang/Number;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/jfree/data/statistics/BoxAndWhiskerItem.getMaxRegularValue:()Ljava/lang/Number;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/jfree/data/statistics/BoxAndWhiskerItem.getMinOutlier:()Ljava/lang/Number;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/jfree/data/statistics/BoxAndWhiskerItem.getMaxOutlier:()Ljava/lang/Number;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/jfree/data/statistics/BoxAndWhiskerItem.getOutliers:()Ljava/util/List;","1","0","0","0","0","14","9","44.37895002019238","3.0","133.13685006057713","0.014792983340064125","0","0","0","9","5","","","unmodifiableList","","","public","3"
"org/jfree/data/statistics/BoxAndWhiskerItem.toString:()Ljava/lang/String;","1","0","0","0","0","53","22","236.34987578777677","3.0","709.0496273633303","0.07878329192925893","0","1","0","25","28","","","toString <init> append","","","public","1"
"org/jfree/data/statistics/BoxAndWhiskerItem.equals:(Ljava/lang/Object;)Z","1","1","2","2","0","139","25","645.4960103786867","15.0","9682.4401556803","0.21516533679289557","0","2","0","87","52","Object BoxAndWhiskerItem","","equal","","","public","24"
"org/jfree/data/statistics/SimpleHistogramDataset.<init>:(Ljava/lang/Comparable;)V","1","1","1","1","0","41","22","182.83669636412918","5.0","914.183481820646","0.06094556545470973","0","2","0","23","18","Comparable","setSelectionState","<init>","","IllegalArgumentException","public","8"
"org/jfree/data/statistics/SimpleHistogramDataset.getAdjustForBinSize:()Z","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/jfree/data/statistics/SimpleHistogramDataset.setAdjustForBinSize:(Z)V","1","1","1","0","0","16","14","60.91767875292166","4.0","243.67071501168664","0.020305892917640553","0","1","0","9","7","","fireDatasetChanged","<init>","","","public","3"
"org/jfree/data/statistics/SimpleHistogramDataset.getSeriesCount:()I","1","0","0","0","0","3","3","4.754887502163469","1.0","4.754887502163469","0.0015849625007211565","0","0","0","2","1","","","","","","public","1"
"org/jfree/data/statistics/SimpleHistogramDataset.getSeriesKey:(I)Ljava/lang/Comparable;","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/jfree/data/statistics/SimpleHistogramDataset.getDomainOrder:()Lorg/jfree/data/DomainOrder;","1","0","0","0","0","3","3","4.754887502163469","1.0","4.754887502163469","0.0015849625007211565","0","0","0","2","1","","","","","","public","1"
"org/jfree/data/statistics/SimpleHistogramDataset.getItemCount:(I)I","1","1","1","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","","","size","","","public","1"
"org/jfree/data/statistics/SimpleHistogramDataset.addBin:(Lorg/jfree/data/statistics/SimpleHistogramBin;)V","2","1","3","3","0","52","30","255.15831097164298","7.0","1786.1081768015008","0.08505277032388099","0","2","1","29","23","SimpleHistogramBin Iterator","","next add iterator hasNext sort <init> overlapsWith","","RuntimeException","public","9"
"org/jfree/data/statistics/SimpleHistogramDataset.addObservation:(D)V","1","1","1","0","0","8","8","24.0","2.0","48.0","0.008","0","0","0","5","3","","addObservation","","","","public","2"
"org/jfree/data/statistics/SimpleHistogramDataset.addObservation:(DZ)V","5","2","5","2","0","71","40","377.85689473700273","10.0","3778.568947370027","0.1259522982456676","0","3","1","42","29","SimpleHistogramBin Iterator","fireDatasetChanged","next iterator accepts getItemCount hasNext <init> setItemCount","","RuntimeException","public","13"
"org/jfree/data/statistics/SimpleHistogramDataset.addObservations:([D)V","2","1","2","1","0","33","21","144.94647495169912","7.0","1014.6253246618938","0.048315491650566374","0","1","1","20","13","double[]","fireDatasetChanged addObservation","<init>","","","public","5"
"org/jfree/data/statistics/SimpleHistogramDataset.clearObservations:()V","2","0","2","2","0","37","25","171.8226790216648","6.0","1030.9360741299888","0.057274226340554936","0","2","1","21","16","SimpleHistogramBin Iterator","fireDatasetChanged","next iterator hasNext <init> setItemCount","","","public","7"
"org/jfree/data/statistics/SimpleHistogramDataset.removeAllBins:()V","1","0","0","0","0","19","14","72.33974351909447","3.0","217.0192305572834","0.024113247839698156","0","2","0","11","8","","fireDatasetChanged","<init>","","","public","3"
"org/jfree/data/statistics/SimpleHistogramDataset.getX:(II)Ljava/lang/Number;","1","2","2","0","0","14","13","51.80615605397529","3.0","155.4184681619259","0.01726871868465843","0","1","0","8","6","","getXValue","<init>","","","public","1"
"org/jfree/data/statistics/SimpleHistogramDataset.getXValue:(II)D","1","2","3","1","0","24","19","101.95026032264605","5.0","509.7513016132302","0.03398342010754868","0","1","0","13","11","SimpleHistogramBin","","get getLowerBound getUpperBound","","","public","2"
"org/jfree/data/statistics/SimpleHistogramDataset.getY:(II)Ljava/lang/Number;","1","2","2","0","0","14","13","51.80615605397529","3.0","155.4184681619259","0.01726871868465843","0","1","0","8","6","","getYValue","<init>","","","public","1"
"org/jfree/data/statistics/SimpleHistogramDataset.getYValue:(II)D","1","2","3","1","0","39","22","173.9178331268546","6.0","1043.5069987611275","0.05797261104228486","0","1","0","23","16","SimpleHistogramBin","","get getItemCount getUpperBound getLowerBound","","","public","4"
"org/jfree/data/statistics/SimpleHistogramDataset.getStartX:(II)Ljava/lang/Number;","1","2","2","0","0","14","13","51.80615605397529","3.0","155.4184681619259","0.01726871868465843","0","1","0","8","6","","getStartXValue","<init>","","","public","1"
