System,Package,Class,Name, COMP, NOCL, NOS, HLTH, HVOC, HEFF, HBUG, CREF, XMET, LMET, NLOC, NOC, NOA, MOD, HDIF, VDEC, EXCT, EXCR, CAST, TDN, HVOL, NAND, VREF, NOPR, MDN, NEXP, LOOP
"","org.apache.commons.lang3.concurrent","BackgroundInitializer","BackgroundInitializer",1,10,2,11,9,108.97,0.01,1,0,1,3,1,1,1,3.12,0,0,0,0,0,34.87,5,1,6,0,1,0
"","org.apache.commons.lang3.concurrent","BackgroundInitializerTest$BackgroundInitializerTestImpl","BackgroundInitializerTestImpl",1,0,2,7,6,36.19,0.01,0,0,0,3,0,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3.concurrent","BackgroundInitializerTest$BackgroundInitializerTestImpl","BackgroundInitializerTestImpl",1,0,2,11,9,108.97,0.01,1,0,0,3,0,1,1,3.12,0,0,0,0,0,34.87,5,1,6,0,1,0
"","org.apache.commons.lang3.concurrent","BasicThreadFactory","BasicThreadFactory",2,6,9,60,25,2846.02,0.09,3,2,0,12,1,1,1,10.21,0,0,0,0,2,278.63,26,19,34,1,10,0
"","org.apache.commons.lang3","BitField","BitField",3,7,9,47,22,3178.83,0.07,0,0,0,12,1,1,1,15.17,2,0,0,0,2,209.59,21,9,26,2,9,1
"","org.apache.commons.lang3","BooleanUtils","BooleanUtils",1,7,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3","ObjectUtils","CONST",1,17,2,15,12,483.97,0.02,1,0,0,1,1,1,2,9.00,0,0,0,0,0,53.77,6,1,9,0,0,0
"","org.apache.commons.lang3","ObjectUtils","CONST",1,35,2,12,10,232.53,0.01,0,0,0,1,3,1,2,5.83,0,0,0,0,0,39.86,5,1,7,0,0,0
"","org.apache.commons.lang3","ObjectUtils","CONST",1,16,2,12,10,232.53,0.01,0,0,0,1,1,1,2,5.83,0,0,0,0,0,39.86,5,1,7,0,0,0
"","org.apache.commons.lang3","ObjectUtils","CONST",1,16,2,12,10,232.53,0.01,0,0,0,1,1,1,2,5.83,0,0,0,0,0,39.86,5,1,7,0,0,0
"","org.apache.commons.lang3","ObjectUtils","CONST",1,16,2,12,10,232.53,0.01,0,0,0,1,1,1,2,5.83,0,0,0,0,0,39.86,5,1,7,0,0,0
"","org.apache.commons.lang3","ObjectUtils","CONST",1,16,2,12,10,232.53,0.01,0,0,0,1,1,1,2,5.83,0,0,0,0,0,39.86,5,1,7,0,0,0
"","org.apache.commons.lang3","ObjectUtils","CONST",1,16,2,12,10,232.53,0.01,0,0,0,1,1,1,2,5.83,0,0,0,0,0,39.86,5,1,7,0,0,0
"","org.apache.commons.lang3","ObjectUtils","CONST",1,16,2,12,10,232.53,0.01,0,0,0,1,1,1,2,5.83,0,0,0,0,0,39.86,5,1,7,0,0,0
"","org.apache.commons.lang3","ObjectUtils","CONST",1,16,2,12,10,232.53,0.01,0,0,0,1,1,1,2,5.83,0,0,0,0,0,39.86,5,1,7,0,0,0
"","org.apache.commons.lang3","ObjectUtils","CONST_BYTE",2,19,4,40,26,2557.04,0.06,2,1,0,6,1,1,2,13.60,0,1,0,1,1,188.02,17,6,23,1,7,0
"","org.apache.commons.lang3","ObjectUtils","CONST_SHORT",2,19,4,40,26,2557.04,0.06,2,1,0,6,1,1,2,13.60,0,1,0,1,1,188.02,17,6,23,1,7,0
"","org.apache.commons.lang3.concurrent","CallableBackgroundInitializer","CallableBackgroundInitializer",1,7,3,18,14,365.51,0.02,2,0,1,4,1,1,1,5.33,0,0,0,0,0,68.53,8,3,10,0,2,0
"","org.apache.commons.lang3.concurrent","CallableBackgroundInitializer","CallableBackgroundInitializer",1,11,4,25,17,545.00,0.03,3,0,1,5,1,2,1,5.33,0,0,0,0,0,102.19,12,4,13,0,3,0
"","org.apache.commons.lang3.text","StrMatcher$CharMatcher","CharMatcher",1,10,3,15,11,217.94,0.02,0,0,0,4,2,1,0,4.20,0,0,0,0,0,51.89,7,2,8,0,2,0
"","org.apache.commons.lang3","CharRange","CharRange",2,14,9,52,18,2818.87,0.07,0,0,0,11,1,3,1,13.00,1,0,0,0,1,216.84,26,13,26,1,8,0
"","org.apache.commons.lang3","CharSequenceUtils","CharSequenceUtils",1,7,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3","CharSet","CharSet",2,8,8,39,22,1773.96,0.06,1,0,1,7,2,1,1,10.20,2,0,0,0,1,173.92,17,7,22,1,6,1
"","org.apache.commons.lang3.text","StrMatcher$CharSetMatcher","CharSetMatcher",1,10,4,27,15,553.80,0.04,1,2,0,5,2,1,0,5.25,0,0,0,0,0,105.49,12,3,15,0,4,0
"","org.apache.commons.lang3","CharSetUtils","CharSetUtils",1,7,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3","CharUtils","CharUtils",1,7,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3","CharRange$CharacterIterator","CharacterIterator",4,6,10,70,27,3203.61,0.11,2,0,0,17,2,1,1,9.62,0,0,0,1,6,332.84,28,18,42,3,10,0
"","org.apache.commons.lang3.time","FastDatePrinter$CharacterLiteral","CharacterLiteral",1,12,2,10,9,99.06,0.01,0,0,0,3,2,1,0,3.12,0,0,0,0,0,31.70,5,2,5,0,1,0
"","org.apache.commons.lang3","SerializationUtils$ClassLoaderAwareObjectInputStream","ClassLoaderAwareObjectInputStream",1,7,12,103,37,4053.05,0.18,2,1,0,13,1,2,1,7.55,0,0,0,0,0,536.57,47,12,56,0,11,0
"","org.apache.commons.lang3","ClassUtils","ClassUtils",1,8,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3.exception","CloneFailedException","CloneFailedException",1,7,2,11,9,108.97,0.01,1,0,0,3,2,1,1,3.12,0,0,0,0,0,34.87,5,1,6,0,1,0
"","org.apache.commons.lang3.exception","CloneFailedException","CloneFailedException",1,7,2,15,11,172.97,0.02,2,0,0,3,1,2,1,3.33,0,0,0,0,0,51.89,8,2,7,0,0,0
"","org.apache.commons.lang3.exception","CloneFailedException","CloneFailedException",1,6,2,11,9,108.97,0.01,1,0,0,3,1,1,1,3.12,0,0,0,0,0,34.87,5,1,6,0,1,0
"","org.apache.commons.lang3","ObjectUtilsTest$CloneableString","CloneableString",1,0,2,10,8,75.00,0.01,1,0,0,3,0,1,0,2.50,0,0,0,0,0,30.00,5,1,5,0,1,0
"","org.apache.commons.lang3.builder","ReflectionToStringBuilderConcurrencyTest$CollectionHolder","CollectionHolder",1,0,2,12,10,179.38,0.01,1,0,0,3,0,1,0,4.50,0,0,0,0,0,39.86,6,2,6,0,1,0
"","org.apache.commons.lang3.builder","ToStringStyleConcurrencyTest$CollectionHolder","CollectionHolder",1,0,2,12,10,179.38,0.01,1,0,0,3,0,1,0,4.50,0,0,0,0,0,39.86,6,2,6,0,1,0
"","org.apache.commons.lang3.builder","CompareToBuilder","CompareToBuilder",1,7,3,11,9,87.17,0.01,0,0,0,4,1,0,1,2.50,0,0,0,0,0,34.87,4,1,7,0,2,0
"","org.apache.commons.lang3.text","CompositeFormat","CompositeFormat",1,7,3,22,12,607.29,0.03,1,0,0,4,1,2,1,7.70,0,0,0,0,0,78.87,11,4,11,0,2,0
"","org.apache.commons.lang3.concurrent","ConcurrentException","ConcurrentException",1,3,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3.concurrent","ConcurrentException","ConcurrentException",1,8,2,19,14,271.27,0.02,3,1,0,3,1,2,1,3.75,0,0,0,0,0,72.34,10,2,9,0,1,0
"","org.apache.commons.lang3.concurrent","ConcurrentException","ConcurrentException",1,7,2,15,12,188.21,0.02,2,1,0,3,1,1,1,3.50,0,0,0,0,0,53.77,7,1,8,0,2,0
"","org.apache.commons.lang3.concurrent","ConcurrentRuntimeException","ConcurrentRuntimeException",1,4,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3.concurrent","ConcurrentRuntimeException","ConcurrentRuntimeException",1,8,2,19,14,271.27,0.02,3,1,0,3,1,2,1,3.75,0,0,0,0,0,72.34,10,2,9,0,1,0
"","org.apache.commons.lang3.concurrent","ConcurrentRuntimeException","ConcurrentRuntimeException",1,7,2,15,12,188.21,0.02,2,1,0,3,1,1,1,3.50,0,0,0,0,0,53.77,7,1,8,0,2,0
"","org.apache.commons.lang3.concurrent","ConcurrentUtils","ConcurrentUtils",1,4,1,4,4,12.00,0.00,0,0,0,2,1,0,1,1.50,0,0,0,0,0,8.00,1,0,3,0,0,0
"","org.apache.commons.lang3.concurrent","ConcurrentUtils$ConstantFuture","ConstantFuture",1,12,2,12,10,179.38,0.01,1,0,0,3,2,1,0,4.50,0,0,0,0,0,39.86,6,2,6,0,1,0
"","org.apache.commons.lang3.concurrent","ConstantInitializer","ConstantInitializer",1,9,2,11,10,137.03,0.01,1,0,0,3,1,1,1,3.75,0,0,0,0,0,36.54,5,2,6,0,1,0
"","org.apache.commons.lang3.reflect","ConstructorUtils","ConstructorUtils",1,8,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3.reflect","ConstructorUtilsTest","ConstructorUtilsTest",1,0,2,21,14,499.72,0.03,1,1,0,3,0,0,1,6.25,0,0,0,0,0,79.95,5,1,16,0,2,0
"","org.apache.commons.lang3.exception","ContextedException","ContextedException",1,5,3,13,10,129.56,0.01,1,1,0,4,1,0,1,3.00,0,0,0,0,0,43.19,4,1,9,0,3,0
"","org.apache.commons.lang3.exception","ContextedException","ContextedException",1,7,3,17,13,256.87,0.02,2,1,0,4,1,1,1,4.08,0,0,0,0,0,62.91,7,2,10,0,3,0
"","org.apache.commons.lang3.exception","ContextedException","ContextedException",1,8,3,21,15,358.95,0.03,3,1,0,4,1,2,1,4.38,0,0,0,0,0,82.04,10,3,11,0,2,0
"","org.apache.commons.lang3.exception","ContextedException","ContextedException",2,7,5,33,20,933.54,0.05,4,1,0,7,1,3,1,6.55,0,0,0,0,1,142.62,16,6,17,1,4,0
"","org.apache.commons.lang3.exception","ContextedException","ContextedException",1,7,3,17,13,256.87,0.02,2,1,0,4,1,1,1,4.08,0,0,0,0,0,62.91,7,2,10,0,3,0
"","org.apache.commons.lang3.exception","ContextedRuntimeException","ContextedRuntimeException",1,5,3,13,10,129.56,0.01,1,1,0,4,1,0,1,3.00,0,0,0,0,0,43.19,4,1,9,0,3,0
"","org.apache.commons.lang3.exception","ContextedRuntimeException","ContextedRuntimeException",1,7,3,17,13,256.87,0.02,2,1,0,4,1,1,1,4.08,0,0,0,0,0,62.91,7,2,10,0,3,0
"","org.apache.commons.lang3.exception","ContextedRuntimeException","ContextedRuntimeException",1,8,3,21,15,358.95,0.03,3,1,0,4,1,2,1,4.38,0,0,0,0,0,82.04,10,3,11,0,2,0
"","org.apache.commons.lang3.exception","ContextedRuntimeException","ContextedRuntimeException",2,7,5,33,20,933.54,0.05,4,1,0,7,1,3,1,6.55,0,0,0,0,1,142.62,16,6,17,1,4,0
"","org.apache.commons.lang3.exception","ContextedRuntimeException","ContextedRuntimeException",1,7,3,17,13,256.87,0.02,2,1,0,4,1,1,1,4.08,0,0,0,0,0,62.91,7,2,10,0,3,0
"","org.apache.commons.lang3.time","FastDateParser$CopyQuotedStrategy","CopyQuotedStrategy",1,8,2,12,10,179.38,0.01,1,0,0,3,2,1,0,4.50,0,0,0,0,0,39.86,6,2,6,0,1,0
"","org.apache.commons.lang3","StringUtilsEqualsIndexOfTest$CustomCharSequence","CustomCharSequence",1,0,2,13,11,236.11,0.01,1,0,0,3,0,1,1,5.25,0,0,0,0,0,44.97,6,2,7,0,1,0
"","org.apache.commons.lang3.time","DateFormatUtils","DateFormatUtils",1,7,2,7,6,36.19,0.01,0,0,0,3,2,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3.time","DateUtils$DateIterator","DateIterator",1,12,5,32,17,732.47,0.04,1,1,0,6,2,2,0,5.60,0,0,0,0,0,130.80,16,6,16,0,5,0
"","org.apache.commons.lang3.time","DateUtils","DateUtils",1,8,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3.builder","ToStringStyle$DefaultToStringStyle","DefaultToStringStyle",1,10,2,6,5,20.90,0.00,0,0,0,3,2,0,0,1.50,0,0,0,0,0,13.93,2,0,4,0,1,0
"","org.apache.commons.lang3.time","DurationFormatUtils","DurationFormatUtils",1,6,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3","EnumUtils","EnumUtils",1,4,1,4,4,12.00,0.00,0,0,0,2,1,0,1,1.50,0,0,0,0,0,8.00,1,0,3,0,0,0
"","org.apache.commons.lang3.builder","EqualsBuilder","EqualsBuilder",1,7,1,4,4,12.00,0.00,0,0,0,2,2,0,1,1.50,0,0,0,0,0,8.00,1,0,3,0,0,0
"","org.apache.commons.lang3.event","EventUtils$EventBindingInvocationHandler","EventBindingInvocationHandler",1,14,4,41,20,1771.99,0.06,4,2,0,5,2,3,0,10.00,0,0,0,0,0,177.20,20,6,21,0,5,0
"","org.apache.commons.lang3.event","EventListenerSupport","EventListenerSupport",1,4,1,4,4,12.00,0.00,0,0,0,2,1,0,1,1.50,0,0,0,0,0,8.00,1,0,3,0,0,0
"","org.apache.commons.lang3.event","EventListenerSupport","EventListenerSupport",1,12,2,21,16,378.00,0.03,3,2,1,3,1,1,1,4.50,0,0,0,0,0,84.00,9,1,12,0,2,0
"","org.apache.commons.lang3.event","EventListenerSupport","EventListenerSupport",1,13,6,49,24,1404.14,0.07,4,4,2,8,1,2,1,6.25,0,0,0,0,0,224.66,25,6,24,0,6,0
"","org.apache.commons.lang3.exception","ExceptionUtils","ExceptionUtils",1,6,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3.exception","ExceptionUtilsTest$ExceptionWithCause","ExceptionWithCause",1,0,3,18,12,207.42,0.02,2,0,1,4,0,2,1,3.21,0,0,0,0,0,64.53,9,2,9,0,2,0
"","org.apache.commons.lang3.exception","ExceptionUtilsTest$ExceptionWithCause","ExceptionWithCause",1,0,3,14,10,139.52,0.02,1,0,1,4,0,1,1,3.00,0,0,0,0,0,46.51,6,1,8,0,2,0
"","org.apache.commons.lang3.text","ExtendedMessageFormat","ExtendedMessageFormat",1,6,2,15,12,188.21,0.02,2,1,1,3,1,1,1,3.50,0,0,0,0,0,53.77,7,1,8,0,1,0
"","org.apache.commons.lang3.text","ExtendedMessageFormat","ExtendedMessageFormat",1,7,2,16,12,184.37,0.02,2,0,1,3,1,2,1,3.21,0,0,0,0,0,57.36,9,2,7,0,0,0
"","org.apache.commons.lang3.text","ExtendedMessageFormat","ExtendedMessageFormat",1,8,5,37,24,1291.90,0.06,5,0,2,6,1,3,1,7.62,0,0,0,0,0,169.64,18,5,19,0,4,0
"","org.apache.commons.lang3.text","ExtendedMessageFormat","ExtendedMessageFormat",1,7,2,25,19,707.99,0.04,5,1,1,3,1,2,1,6.67,0,0,0,0,0,106.20,12,2,13,0,1,0
"","org.apache.commons.lang3.time","FastDateFormat","FastDateFormat",1,10,3,31,18,699.22,0.04,5,2,0,4,3,3,1,5.41,0,0,0,0,0,129.27,17,8,14,0,4,0
"","org.apache.commons.lang3.time","FastDateParser","FastDateParser",1,8,5,34,16,899.11,0.05,3,0,1,6,1,3,1,6.61,0,0,0,0,0,136.00,17,6,17,0,4,0
"","org.apache.commons.lang3.time","FastDatePrinter","FastDatePrinter",1,10,5,28,17,436.99,0.04,3,0,1,6,3,3,1,3.82,0,0,0,0,0,114.45,14,6,14,0,4,0
"","org.apache.commons.lang3.reflect","FieldUtils","FieldUtils",1,5,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3.text","FormattableUtils","FormattableUtils",1,8,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3.math","Fraction","Fraction",1,7,4,25,13,647.58,0.03,0,0,0,5,1,2,1,7.00,0,0,0,0,0,92.51,12,4,13,0,3,0
"","org.apache.commons.lang3.text.translate","EntityArrays","HTML40_EXTENDED_ESCAPE",1,6,2,14,11,258.30,0.02,1,1,0,1,1,0,2,5.33,0,0,0,0,0,48.43,4,1,10,0,1,0
"","org.apache.commons.lang3.text.translate","EntityArrays","HTML40_EXTENDED_UNESCAPE",1,4,2,14,11,258.30,0.02,1,1,0,1,1,0,2,5.33,0,0,0,0,0,48.43,4,1,10,0,1,0
"","org.apache.commons.lang3.builder","HashCodeBuilder","HashCodeBuilder",1,5,3,12,10,99.66,0.01,0,0,0,4,1,0,1,2.50,0,0,0,0,0,39.86,5,2,7,0,2,0
"","org.apache.commons.lang3.builder","HashCodeBuilder","HashCodeBuilder",5,17,11,70,24,3666.21,0.11,1,1,0,16,1,2,1,11.42,0,0,0,0,4,320.95,27,8,43,1,12,0
"","org.apache.commons.lang3.builder","IDKey","IDKey",1,8,3,19,14,325.53,0.02,2,1,0,4,5,1,1,4.50,0,0,0,0,0,72.34,9,4,10,0,3,0
"","org.apache.commons.lang3.text.translate","EntityArrays","ISO8859_1_ESCAPE",1,5,2,14,11,258.30,0.02,1,1,0,1,1,0,2,5.33,0,0,0,0,0,48.43,4,1,10,0,1,0
"","org.apache.commons.lang3.text.translate","EntityArrays","ISO8859_1_UNESCAPE",1,4,2,14,11,258.30,0.02,1,1,0,1,1,0,2,5.33,0,0,0,0,0,48.43,4,1,10,0,1,0
"","org.apache.commons.lang3.tuple","ImmutablePair","ImmutablePair",1,6,4,25,14,571.10,0.03,2,0,0,5,1,2,1,6.00,0,0,0,0,0,95.18,12,4,13,0,3,0
"","org.apache.commons.lang3.tuple","ImmutableTriple","ImmutableTriple",1,7,5,34,16,899.11,0.05,3,0,0,6,1,3,1,6.61,0,0,0,0,0,136.00,17,6,17,0,4,0
"","org.apache.commons.lang3.concurrent","BackgroundInitializer$InitializationTask","InitializationTask",1,6,2,11,10,137.03,0.01,1,0,0,3,1,1,1,3.75,0,0,0,0,0,36.54,5,2,6,0,1,0
"","org.apache.commons.lang3.builder","ReflectionToStringBuilderMutateInspectConcurrencyTest$InspectingClient","InspectingClient",1,0,2,13,11,236.11,0.01,1,0,0,3,0,1,1,5.25,0,0,0,0,0,44.97,6,2,7,0,1,0
"","org.apache.commons.lang3.text.translate","EntityArrays","JAVA_CTRL_CHARS_ESCAPE",1,6,2,14,11,258.30,0.02,1,1,0,1,1,0,2,5.33,0,0,0,0,0,48.43,4,1,10,0,1,0
"","org.apache.commons.lang3.text.translate","EntityArrays","JAVA_CTRL_CHARS_UNESCAPE",1,4,2,14,11,258.30,0.02,1,1,0,1,1,0,2,5.33,0,0,0,0,0,48.43,4,1,10,0,1,0
"","org.apache.commons.lang3.text.translate","JavaUnicodeEscaper","JavaUnicodeEscaper",1,14,2,19,12,267.59,0.02,0,0,0,3,1,3,1,3.93,0,0,0,0,0,68.11,11,3,8,0,0,0
"","org.apache.commons.lang3","JavaVersion","JavaVersion",1,12,3,21,12,414.06,0.03,1,0,0,4,2,2,0,5.50,0,0,0,0,0,75.28,11,4,10,0,2,0
"","org.apache.commons.lang3","LocaleUtils","LocaleUtils",1,7,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3.text.translate","LookupTranslator","LookupTranslator",5,10,17,101,38,8480.65,0.18,3,4,0,19,1,1,1,16.00,3,0,0,0,4,530.04,44,20,57,3,18,1
"","org.apache.commons.lang3.text","StrLookup$MapStrLookup","MapStrLookup",1,10,2,16,14,324.89,0.02,3,0,0,3,2,1,0,5.33,0,0,0,0,0,60.92,8,2,8,0,1,0
"","org.apache.commons.lang3.reflect","MethodUtils","MethodUtils",1,8,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3.concurrent","MultiBackgroundInitializer","MultiBackgroundInitializer",1,3,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3.concurrent","MultiBackgroundInitializer","MultiBackgroundInitializer",1,7,2,11,9,108.97,0.01,1,0,0,3,1,1,1,3.12,0,0,0,0,0,34.87,5,1,6,0,1,0
"","org.apache.commons.lang3.concurrent","MultiBackgroundInitializer$MultiBackgroundInitializerResults","MultiBackgroundInitializerResults",1,9,4,40,21,1251.81,0.06,6,0,0,8,1,3,1,7.12,0,0,0,0,0,175.69,19,6,21,0,3,0
"","org.apache.commons.lang3.builder","ToStringStyle$MultiLineToStringStyle","MultiLineToStringStyle",1,10,6,38,18,548.51,0.05,1,0,4,7,2,0,0,3.46,0,0,0,0,0,158.46,18,2,20,0,7,0
"","org.apache.commons.lang3.time","FormatCache$MultipartKey","MultipartKey",1,4,2,14,12,301.14,0.02,1,0,0,3,1,1,1,6.00,0,0,0,0,0,50.19,6,2,8,0,1,0
"","org.apache.commons.lang3.mutable","MutableBoolean","MutableBoolean",1,3,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3.mutable","MutableBoolean","MutableBoolean",1,5,3,16,12,281.06,0.02,0,0,0,4,1,1,1,4.90,0,0,0,0,0,57.36,7,2,9,0,2,0
"","org.apache.commons.lang3.mutable","MutableBoolean","MutableBoolean",1,6,3,19,13,328.11,0.02,1,1,0,4,1,1,1,4.67,0,0,0,0,0,70.31,8,2,11,0,3,0
"","org.apache.commons.lang3.mutable","MutableByte","MutableByte",1,3,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3.mutable","MutableByte","MutableByte",1,5,3,16,12,281.06,0.02,0,0,0,4,1,1,1,4.90,0,0,0,0,0,57.36,7,2,9,0,2,0
"","org.apache.commons.lang3.mutable","MutableByte","MutableByte",1,6,3,19,13,328.11,0.02,1,1,0,4,1,1,1,4.67,0,0,0,0,0,70.31,8,2,11,0,3,0
"","org.apache.commons.lang3.mutable","MutableByte","MutableByte",1,7,3,22,16,440.00,0.03,2,1,0,4,1,1,1,5.00,0,0,0,0,0,88.00,10,2,12,0,3,0
"","org.apache.commons.lang3.mutable","MutableDouble","MutableDouble",1,3,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3.mutable","MutableDouble","MutableDouble",1,5,3,16,12,281.06,0.02,0,0,0,4,1,1,1,4.90,0,0,0,0,0,57.36,7,2,9,0,2,0
"","org.apache.commons.lang3.mutable","MutableDouble","MutableDouble",1,6,3,19,13,328.11,0.02,1,1,0,4,1,1,1,4.67,0,0,0,0,0,70.31,8,2,11,0,3,0
"","org.apache.commons.lang3.mutable","MutableDouble","MutableDouble",1,7,3,22,16,440.00,0.03,2,1,0,4,1,1,1,5.00,0,0,0,0,0,88.00,10,2,12,0,3,0
"","org.apache.commons.lang3.mutable","MutableFloat","MutableFloat",1,3,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3.mutable","MutableFloat","MutableFloat",1,5,3,16,12,281.06,0.02,0,0,0,4,1,1,1,4.90,0,0,0,0,0,57.36,7,2,9,0,2,0
"","org.apache.commons.lang3.mutable","MutableFloat","MutableFloat",1,6,3,19,13,328.11,0.02,1,1,0,4,1,1,1,4.67,0,0,0,0,0,70.31,8,2,11,0,3,0
"","org.apache.commons.lang3.mutable","MutableFloat","MutableFloat",1,7,3,22,16,440.00,0.03,2,1,0,4,1,1,1,5.00,0,0,0,0,0,88.00,10,2,12,0,3,0
"","org.apache.commons.lang3.mutable","MutableInt","MutableInt",1,3,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3.mutable","MutableInt","MutableInt",1,5,3,16,12,281.06,0.02,0,0,0,4,1,1,1,4.90,0,0,0,0,0,57.36,7,2,9,0,2,0
"","org.apache.commons.lang3.mutable","MutableInt","MutableInt",1,6,3,19,13,328.11,0.02,1,1,0,4,1,1,1,4.67,0,0,0,0,0,70.31,8,2,11,0,3,0
"","org.apache.commons.lang3.mutable","MutableInt","MutableInt",1,7,3,22,16,440.00,0.03,2,1,0,4,1,1,1,5.00,0,0,0,0,0,88.00,10,2,12,0,3,0
"","org.apache.commons.lang3.mutable","MutableLong","MutableLong",1,3,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
